manualData,cf_post2014,standard
,Assessment Subject ID,id
,* assessment start date *,assessment_start_date
,* assessment end date *,assessment_end_date
,Answer,answer
,Assessment Start Date,assessment_start_date
,Assessment End Date,assessment_end_date
,Assessment Subject Gender,assessment_subject_gender
,* ageband at assessment *,ageband_at_assessment
,* left 3 digits of postcode *,left_3_digits_of_postcode
,* area team based on postcode *,area_team_based_on_postcode
,SIMD Vigintiles,simd_vigintiles
,* simd area *,simd_area
,* first icj nha completed *,first_icj_nha_completed
,* last icj nha completed *,last_icj_nha_completed
,* rank from first to last completed hna *,rank_from_first_to_last_completed_hna
,* (1.1.1) visit location *,visit_location
,* (1.1.2) duration (in minutes) *,duration_in_minutes
,* (2.1.1) stage in journey *,stage_in_journey
,* (2.1.2) questions about diagnosis to discuss *,questions_about_diagnosis_to_discuss
,* (2.1.3) physical concerns part 1 - breathing difficulties *,CONCERN_Breathing Difficulties
,* (2.1.3) physical concerns part 1 - breathing difficulties summary *,SUMMARY_Breathing Difficulties
,* (2.1.3) physical concerns part 1 - constipation *,CONCERN_Constipation
,* (2.1.3) physical concerns part 1 - constipation summary *,SUMMARY_Constipation
,* (2.1.3) physical concerns part 1 - diarrhoea *,CONCERN_Diarrhoea
,* (2.1.3) physical concerns part 1 - diarrhoea summary *,SUMMARY_Diarrhoea
,* (2.1.3) physical concerns part 1 - eating or appetite *,CONCERN_Eating/Appetite
,* (2.1.3) physical concerns part 1 - eating or appetite summary *,SUMMARY_Eating/Appetite
,* (2.1.3) physical concerns part 1 - high temperature or fever *,CONCERN_High Temperature/Fever
,* (2.1.3) physical concerns part 1 - high temperature or fever summary *,SUMMARY_High Temperature/Fever
,* (2.1.3) physical concerns part 1 - indigestion *,CONCERN_Indigestion
,* (2.1.3) physical concerns part 1 - indigestion summary *,SUMMARY_Indigestion
,* (2.1.3) physical concerns part 1 - nausea or vomiting *,CONCERN_Nausea/Vomiting
,* (2.1.3) physical concerns part 1 - nausea or vomiting summary *,SUMMARY_Nausea/Vomiting
,* (2.1.3) physical concerns part 1 - passing urine *,CONCERN_Passing Urine
,* (2.1.3) physical concerns part 1 - passing urine summary *,SUMMARY_Passing Urine
,* (2.1.3) physical concerns part 1 - sleep problems or nightmares *,CONCERN_Sleep Problems/Nightmares
,* (2.1.3) physical concerns part 1 - sleep problems or nightmares summary *,SUMMARY_Sleep Problems/Nightmares
,* (2.1.3) physical concerns part 1 - sore or dry mouth *,CONCERN_Sore/Dry Mouth
,* (2.1.3) physical concerns part 1 - sore or dry mouth summary *,SUMMARY_Sore/Dry Mouth
,* (2.1.3) physical concerns part 1 - swollen limb or tummy *,CONCERN_Swollen Tummy/Limb
,* (2.1.3) physical concerns part 1 - swollen limb or tummy summary *,SUMMARY_Swollen Tummy/Limb
,* (2.1.3) physical concerns part 1 - tired exhausted fatigued *,CONCERN_Tired/Exhausted/Fatigued
,* (2.1.3) physical concerns part 1 - tired exhausted fatigued summary *,SUMMARY_Tired/Exhausted/Fatigued
,* (2.1.4) physical concerns part 2 - dry itchy or sore skin *,CONCERN_Dry/Itchy/Sore Skin
,* (2.1.4) physical concerns part 2 - dry itchy or sore skin summary *,SUMMARY_Dry/Itchy/Sore Skin
,* (2.1.4) physical concerns part 2 - getting around walking *,CONCERN_Getting Around
,* (2.1.4) physical concerns part 2 - getting around walking summary *,SUMMARY_Getting Around
,* (2.1.4) physical concerns part 2 - hot flushes or sweating *,CONCERN_Hot Flushes/Sweating
,* (2.1.4) physical concerns part 2 - hot flushes or sweating summary *,SUMMARY_Hot Flushes/Sweating
,* (2.1.4) physical concerns part 2 - memory or concentration *,CONCERN_Memory or Concentration
,* (2.1.4) physical concerns part 2 - memory or concentration summary *,SUMMARY_Memory or Concentration
,* (2.1.4) physical concerns part 2 - my appearance *,CONCERN_My Appearance
,* (2.1.4) physical concerns part 2 - my appearance summary *,SUMMARY_My Appearance
,* (2.1.4) physical concerns part 2 - pain *,CONCERN_Pain
,* (2.1.4) physical concerns part 2 - pain summary *,SUMMARY_Pain
,* (2.1.4) physical concerns part 2 - sexuality *,CONCERN_Sexuality
,* (2.1.4) physical concerns part 2 - sexuality summary *,SUMMARY_Sexuality
,* (2.1.4) physical concerns part 2 - speech problems *,CONCERN_Speech Problems
,* (2.1.4) physical concerns part 2 - speech problems summary *,SUMMARY_Speech Problems
,* (2.1.4) physical concerns part 2 - taste sight hearing *,CONCERN_Taste/Sight/Hearing
,* (2.1.4) physical concerns part 2 - taste sight hearing summary *,SUMMARY_Taste/Sight/Hearing
,* (2.1.4) physical concerns part 2 - tingling in hands or feet *,CONCERN_Tingling in Hands/Feet
,* (2.1.4) physical concerns part 2 - tingling in hands or feet summary *,SUMMARY_Tingling in Hands/Feet
,* (2.1.4) physical concerns part 2 - unplanned changes in weight *,CONCERN_Unplanned Changes in Weight
,* (2.1.4) physical concerns part 2 - unplanned changes in weight summary *,SUMMARY_Unplanned Changes in Weight
,* (2.1.5) practical concerns - caring responsibilities *,CONCERN_Caring Responsibilities
,* (2.1.5) practical concerns - caring responsibilities summary *,SUMMARY_Caring Responsibilities
,* (2.1.5) practical concerns - contact communication with nhs staff *,CONCERN_Contact/Communication with NHS Staff
,* (2.1.5) practical concerns - contact communication with nhs staff summary *,SUMMARY_Contact/Communication with NHS Staff
,* (2.1.5) practical concerns - housework or shopping *,CONCERN_Housework or Shopping
,* (2.1.5) practical concerns - housework or shopping summary *,SUMMARY_Housework or Shopping
,* (2.1.5) practical concerns - insurance and travel *,CONCERN_Insurance and Travel
,* (2.1.5) practical concerns - insurance and travel summary *,SUMMARY_Insurance and Travel
,* (2.1.5) practical concerns - money or housing *,CONCERN_Money or Housing
,* (2.1.5) practical concerns - money or housing summary *,SUMMARY_Money or Housing
,* (2.1.5) practical concerns - preparing meals and drinks *,CONCERN_Preparing Meals/drinks
,* (2.1.5) practical concerns - preparing meals and drinks summary *,SUMMARY_Preparing Meals/drinks
,* (2.1.5) practical concerns - transport or parking *,CONCERN_Transport or Parking
,* (2.1.5) practical concerns - transport or parking summary *,SUMMARY_Transport or Parking
,* (2.1.5) practical concerns - washing and dressing *,CONCERN_Washing and Dressing
,* (2.1.5) practical concerns - washing and dressing summary *,SUMMARY_Washing and Dressing
,* (2.1.5) practical concerns - work and education *,CONCERN_Work and Education
,* (2.1.5) practical concerns - work and education summary *,SUMMARY_Work and Education
,* (2.1.6) family and relationship concerns - children *,CONCERN_Children
,* (2.1.6) family and relationship concerns - children summary *,SUMMARY_Children
,* (2.1.6) family and relationship concerns - other relatives or friends *,CONCERN_Other Relatives/Friends
,* (2.1.6) family and relationship concerns - other relatives or friends summary *,SUMMARY_Other Relatives/Friends
,* (2.1.6) family and relationship concerns - partner *,CONCERN_Partner
,* (2.1.6) family and relationship concerns - partner summary *,SUMMARY_Partner
,* (2.1.7) emotional concerns - anger or frustration *,CONCERN_Anger/Frustration
,* (2.1.7) emotional concerns - anger or frustration summary *,SUMMARY_Anger/Frustration
,* (2.1.7) emotional concerns - difficulty making plans *,CONCERN_Difficulty Making Plans
,* (2.1.7) emotional concerns - difficulty making plans summary *,SUMMARY_Difficulty Making Plans
,* (2.1.7) emotional concerns - guilt *,CONCERN_Guilt
,* (2.1.7) emotional concerns - guilt summary *,SUMMARY_Guilt
,* (2.1.7) emotional concerns - hopelessness *,CONCERN_Hopelessness
,* (2.1.7) emotional concerns - hopelessness summary *,SUMMARY_Hopelessness
,* (2.1.7) emotional concerns - loneliness or isolation *,CONCERN_Loneliness/Isolation
,* (2.1.7) emotional concerns - loneliness or isolation summary *,SUMMARY_Loneliness/Isolation
,* (2.1.7) emotional concerns - loss of interest or activities *,CONCERN_Loss of Interest in Activities
,* (2.1.7) emotional concerns - loss of interest or activities summary *,SUMMARY_Loss of Interest in Activities
,* (2.1.7) emotional concerns - sadness or depression *,CONCERN_Sadness or Depression
,* (2.1.7) emotional concerns - sadness or depression summary *,SUMMARY_Sadness or Depression
,* (2.1.7) emotional concerns - unable to express feelings *,CONCERN_Unable to Express Feelings
,* (2.1.7) emotional concerns - unable to express feelings summary *,SUMMARY_Unable to Express Feelings
,* (2.1.7) emotional concerns - worry fear or anxiety *,CONCERN_Worry/Fear/Anxiety
,* (2.1.7) emotional concerns - worry fear or anxiety summary *,SUMMARY_Worry/Fear/Anxiety
,* (2.1.8) spiritual or religious concerns - loss of faith or other spiritual concern *,CONCERN_Loss of Faith or Spiritual Concern
,* (2.1.8) spiritual or religious concerns - loss of faith or other spiritual concern summary *,SUMMARY_Loss of Faith or Spiritual Concern
,* (2.1.8) spiritual or religious concerns - loss of meaning or purpose of life *,CONCERN_Loss of Meaning or Purpose of Life
,* (2.1.8) spiritual or religious concerns - loss of meaning or purpose of life summary *,SUMMARY_Loss of Meaning or Purpose of Life
,* (2.1.8) spiritual or religious concerns - not being at peace with or feeling regret about the past *,CONCERN_Not Being at Peace with or Feeling Regret about the Past
,* (2.1.8) spiritual or religious concerns - not being at peace with or feeling regret about the past summary *,SUMMARY_Not Being at Peace with or Feeling Regret about the Past
,* (2.1.9) lifestyle or information needs - alcohol or drugs *,CONCERN_Alcohol or Drugs
,* (2.1.9) lifestyle or information needs - alcohol or drugs summary *,SUMMARY_Alcohol or Drugs
,* (2.1.9) lifestyle or information needs - complementary therapies *,CONCERN_Complementary Therapies
,* (2.1.9) lifestyle or information needs - complementary therapies summary *,SUMMARY_Complementary Therapies
,* (2.1.9) lifestyle or information needs - diet and nutrition *,CONCERN_Diet and Nutrition
,* (2.1.9) lifestyle or information needs - diet and nutrition summary *,SUMMARY_Diet and Nutrition
,* (2.1.9) lifestyle or information needs - exercise and activity *,CONCERN_Exercise and Activity
